type,lat,lng,icon,name/text,alt_names,subheader/text,description,size,angle,spacing,curve,coords,style,overlay,infobox,text_lines
marker,12.185606572462449,-8.282903617710579,altdorf,The Imperial Capital ,,,,,,,,,"{""iconScale"":0.32}",,,
marker,44.98034238084973,-8.789222786854111,beastman-small,BEASTMAN SMALL,,,,,,,,,"{""iconScale"":0.49}",,,
marker,48,-4,beastman-stone,BEASTMAN STONE,,,,,,,,,"{""iconScale"":0.46}",,,
marker,59.57885104663189,-50.528928738463755,carrow-large,Frostgrave,,,![Frostgrave](images/Frostgrave.jpg),,,,,,"{""iconScale"":0.24}",,,
marker,46.49772075203549,10.503552142351264,castle,Castle Westhrope,,,,,,,,,"{""iconScale"":0.35}",,,
marker,48,20,carrow,CARROW,,,,,,,,,"{""iconScale"":0.3}",,,
marker,44.434035565943226,7.255467288188432,dwarf-outpost,DWARF OUTPOST,,,,,,,,,"{""iconScale"":0.01}",,,
marker,14.797051335299228,-77.98128678200113,eleven-tower,Tol Teloro,,,![Tol Teloro](images/Tol Teloro.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-53.65686034442051,-91.71339660569892,fort,Bridgeford,,,![Bridgeford](images/Bridgeford.jpg),,,,,,"{""iconScale"":0.15}",,,
marker,57.59837620746089,7.404785156250001,hirm,HIRM,,,,,,,,,"{""iconScale"":0.07}",,,
marker,70.28911664330674,-68.68652343750001,house,Dragonbluff,,,,,,,,,"{""iconScale"":0.01}",,,
marker,-39.08034705167423,66.16335609082715,karak-angazhar,KARAK ANGAZHAR,,,,,,,,,"{""iconScale"":0.06}",,,
marker,-17.546232291663774,0,karak-azul,KARAK AZUL,,,,,,,,,"{""iconScale"":0.08}",,,
marker,-46.968130354910144,73.90864688907553,karak-izor,KARAK IZOR,,,,,,,,,"{""iconScale"":0.07}",,,
marker,15.287087827075853,100.88067930410752,karak-nornn,Iron Dwarves,,,,,,,,,"{""iconScale"":0.07}",,,
marker,57.18399594285948,73.91670215319175,karak-varn,Frost Dwarves,,,,,,,,,"{""iconScale"":0.09}",,,
marker,52.919912836450585,54.60205078125001,kislev,KISLEV,,,,,,,,,"{""iconScale"":0.01}",,,
marker,-71.09067743970229,74.52645958746456,ld-003,LD 003,,,,,,,,,"{""iconScale"":0.07}",,,
marker,-71.74623831749177,63.41308593750001,ld-004,LD 004,,,,,,,,,"{""iconScale"":0.09}",,,
marker,-69.92742713629826,81.28891923476615,ld-005,LD 005,,,,,,,,,"{""iconScale"":0.1}",,,
marker,-73.53124438010231,64.7104261076968,ld-007,LD 007,,,,,,,,,"{""iconScale"":0.11}",,,
marker,-71.57026515503922,90.67639616906902,ld-008,LD 008,,,,,,,,,"{""iconScale"":0.1}",,,
marker,-72.67284810103507,84.2434386737767,ld-010,LD 010,,,,,,,,,"{""iconScale"":0.07}",,,
marker,-74.01934150784015,88.37064800722405,ld-013,LD 013,,,,,,,,,"{""iconScale"":0.14}",,,
marker,-69.03751436758597,68.99402620363475,ld-015,LD 015,,,,,,,,,"{""iconScale"":0.11}",,,
marker,66.07154649351564,64.76985127021538,ld-018,LD 018,,,,,,,,,"{""iconScale"":0.05}",,,
marker,-72.95820739647147,90.04201159142667,ld-019,LD 019,,,,,,,,,"{""iconScale"":0.08}",,,
marker,-72.73916221432165,59.28392830773533,ld-021,LD 021,,,,,,,,,"{""iconScale"":0.16}",,,
marker,-71.01020706910192,87.34648419357593,ld-023,LD 023,,,,,,,,,"{""iconScale"":0.09}",,,
marker,-71.46868278778487,83.0983089523308,ld-026,LD 026,,,,,,,,,"{""iconScale"":0.08}",,,
marker,39.16324838056937,52.824733837432284,og-001,OG 001,,,,,,,,,"{""iconScale"":0.1}",,,
marker,71.62214274510511,55.01502267274043,og-002,OG 002,,,,,,,,,"{""iconScale"":0.14}",,,
marker,34.66975834574615,61.0864620441849,og-003,OG 003,,,,,,,,,"{""iconScale"":0.1}",,,
marker,37.15999030967233,56.603737553101276,og-004,OG 004,,,,,,,,,"{""iconScale"":0.1}",,,
marker,45.89000815866184,1.0663395710929136,og-005,The Bloodbeater Tribe,,,,,,,,,"{""iconScale"":0.11}",,,
marker,29.45984502677536,57.57043355607338,og-006,OG 006,,,,,,,,,"{""iconScale"":0.14}",,,
marker,30.450349939025,63.722701652052464,og-007,OG 007,,,,,,,,,"{""iconScale"":0.13}",,,
marker,37.71810460663384,67.6777766248016,og-008,OG 008,,,,,,,,,"{""iconScale"":0.15}",,,
marker,-69.162557908105,-31.508789062500004,porto,PORTO,,,,,,,,,"{""iconScale"":0.01}",,,
marker,22.09997894490813,-73.13206136613177,shroudedisle,SHROUDEDISLE,,,,,,,,,"{""iconScale"":0.11}",,,
marker,3.5212618786490912,-78.4866303965219,the-silent-isle,THE SILENT ISLE,,,,,,,,,"{""iconScale"":0.08}",,,
marker,-55.19151431955214,-25.42236328125,vala-azril-ungol,VALA AZRIL UNGOL,,,,,,,,,"{""iconScale"":0.06}",,,
marker,-56.41994903025323,51.93639783994327,varr,VARR,,,,,,,,,"{""iconScale"":0.07}",,,
marker,7.977813988982235,79.7818261112157,wood-elf,WOOD ELF,,,,,,,,,"{""iconScale"":0.04}",,,
marker,-30.832661056219436,-28.370661952103838,zuf,ZUF,,,,,,,,,"{""iconScale"":0.07}",,,
marker,-1.591639344646987,103.35720387747874,aoppzmnxou7g1,AOPPZMNXOU7G1,,,,,,,,,"{""iconScale"":0.01}",,,
marker,-71.26505535833252,12.194824218750002,bazzar,BAZZAR,,,,,,,,,"{""iconScale"":0.15}",,,
marker,-73.25872851289343,13.095703125,bazzar-large,BAZZAR LARGE,,,,,,,,,"{""iconScale"":0.21}",,,
marker,34.523278829968056,-39.016412028171395,bulwark-of-olindardwyk,BULWARK OF OLINDARDWYK,,,,,,,,,"{""iconScale"":0.07}",,,
marker,-71.88415507097865,24.214401494022713,caliphate-of-al-dhura,CALIPHATE OF AL DHURA,,,,,,,,,"{""iconScale"":0.03}",,,
marker,-65.4293681449551,70.6446108679012,confederation-of-muzad,CONFEDERATION OF MU'ZAD,,,,,,,,,"{""iconScale"":0.04}",,,
marker,15.023753120106319,53.25568342776204,county-of-pavonara,COUNTY OF PAVONARA,,,,,,,,,"{""iconScale"":0.04}",,,
marker,28,4,duchy-of-pomerania,DUCHY OF POMERANIA,,,,,,,,,"{""iconScale"":0.08}",,,
marker,-30.86785954102045,-35.99166408463174,dukedom-of-bellaryn,DUKEDOM OF BELLARYN,,,,,,,,,"{""iconScale"":0.03}",,,
marker,-70.22854392090953,38.228897696949176,emirate-of-maldari,EMIRATE OF MALDARI,,,,,,,,,"{""iconScale"":0.04}",,,
marker,24.927319440294426,27.818716779633284,fiefdom-of-ranholdt,FIEFDOM OF RANHOLDT,,,,,,,,,"{""iconScale"":0.06}",,,
marker,28,20,free-city-of-laptlywnn,FREE CITY OF LAPTLYWNN,,,,,,,,,"{""iconScale"":0.04}",,,
marker,-5.790608565599612,11.601344304632468,free-city-of-lapzburg,FREE CITY OF LAPZBURG,,,,,,,,,"{""iconScale"":0.03}",,,
marker,23.604084842389206,-56.06902377497305,free-city-of-lumbarlicht,FREE CITY OF LUMBARLICHT,,,,,,,,,"{""iconScale"":0.03}",,,
marker,25.878994400196202,-36.164898276515245,free-city-of-ulyw,FREE CITY OF ULYW,,,,,,,,,"{""iconScale"":0.05}",,,
marker,-71.07375572837172,-92.24135534702546,free-pirate-republic-of-sabo,FREE PIRATE REPUBLIC OF SABO,,,,,,,,,"{""iconScale"":0.04}",,,
marker,0.9279298996053476,-12.964489642351264,free-province-of-marrolyn,FREE PROVINCE OF MARROLYN,,,,,,,,,"{""iconScale"":0.03}",,,
marker,24,-4,gate,GATE,,,,,,,,,"{""iconScale"":0.41}",,,
marker,7.493905081105289,27.728889651203946,grand-dutchy-of-the-palensades,GRAND DUTCHY OF THE PALENSADES,,,,,,,,,"{""iconScale"":0.04}",,,
marker,-60.737223166643865,16.697734817634537,heraldecember-day-1-molsheim-and-guebwiller-v0-tatogcctmy8g1,HERALDECEMBER DAY 1 MOLSHEIM AND GUEBWILLER V0 TATOGCCTMY8G1,,,,,,,,,"{""iconScale"":0.04}",,,
marker,-36.996836968187594,-60.417708702195455,kingdom-of-lysandor,KINGDOM OF LYSANDOR,,,,,,,,,"{""iconScale"":0.03}",,,
marker,66.60067571342496,-89.296875,kingdom-of-ostylward,KINGDOM OF OSTYLWARD,,,,,,,,,"{""iconScale"":0.04}",,,
marker,-70.53215239614086,12.106933593750002,large-bazzar,LARGE BAZZAR,,,,,,,,,"{""iconScale"":0.17}",,,
marker,-73.07325877734345,8.745317355430313,league-of-corssair-states,LEAGUE OF CORSSAIR STATES,,,,,,,,,"{""iconScale"":0.03}",,,
marker,-65.73881098074631,-69.25816266185261,lordship-of-silvarra,LORDSHIP OF SILVARRA,,,,,,,,,"{""iconScale"":0.03}",,,
marker,67.06980413705526,-13.618156869688367,margraviate-of-aurelmark,MARGRAVIATE OF AURELMARK,,,,,,,,,"{""iconScale"":0.02}",,,
marker,-43.35703990778553,-104.98494659489742,parmount-kingdom-of-runtha,PARMOUNT KINGDOM OF RUNTHA,,,,,,,,,"{""iconScale"":0.07}",,,
marker,5.046315680567585,-60.03018936164925,principality-of-caelwyn,PRINCIPALITY OF CAELWYN,,,,,,,,,"{""iconScale"":0.04}",,,
marker,6.4493653841741505,-3.6925275793798096,principality-of-karengal,PRINCIPALITY OF KARENGAL,,,,,,,,,"{""iconScale"":0.03}",,,
marker,5.83780163015662,-20.342423212711328,principality-of-paragus,PRINCIPALITY OF PARAGUS,,,,,,,,,"{""iconScale"":0.03}",,,
marker,9.797968075409534,-13.619499812676102,principality-of-veylanth,PRINCIPALITY OF VEYLANTH,,,,,,,,,"{""iconScale"":0.02}",,,
marker,22.02460818767856,21.137626659680816,realm-of-nurn,REALM OF NURN,,,,,,,,,"{""iconScale"":0.04}",,,
marker,9.104534699889653,10.985550059716038,realm-of-saryndal,REALM OF SARYNDAL,,,,,,,,,"{""iconScale"":0.03}",,,
marker,20,12,realm-of-the-moot,REALM OF THE MOOT,,,,,,,,,"{""iconScale"":0.05}",,,
marker,-27.441008538185756,-53.32974582598623,realm-of-ulyween,REALM OF ULYWEEN,,,,,,,,,"{""iconScale"":0.04}",,,
marker,-60.5220815015886,-12.348498362252105,republic-of-florence,REPUBLIC OF FLORENCE,,,,,,,,,"{""iconScale"":0.05}",,,
marker,-68.25307124863983,13.316551016879833,sultanate-of-qashir,SULTANATE OF QASHIR,,,,,,,,,"{""iconScale"":0.03}",,,
marker,-59.901106211317106,42.97020958746464,tandar,TANDAR,,,,,,,,,"{""iconScale"":0.02}",,,
marker,-52.53005409460626,98.25297695769208,the-dark-lords-domain,THE DARK LORDS DOMAIN,,,,,,,,,"{""iconScale"":0.01}",,,
marker,16,-12,the-free-state-of-myroberg,THE FREE STATE OF MYROBERG,,,,,,,,,"{""iconScale"":0.04}",,,
marker,44.647740907829146,24.513017193968775,the-great-brey-heard,THE GREAT BREY HEARD,,,"The Unnumbered Tribes
In the Great Forest, huge herds of Beastmen roam freely though vast tracts of woodland that are but sparsely populated by the denizens of the Empire. Out of sight, the Cloven Ones glut themselves on game animals and grow in strength before unleashing their wrath upon the people of Osterlund and Talabecland.",,,,,,"{""iconScale"":0.03}",,,
marker,-60.5334403966211,17.226562500000004,the-monastic-order-of-the-wheel,THE MONASTIC ORDER OF THE WHEEL,,,,,,,,,"{""iconScale"":0.06}",,,
marker,66.10716955858042,-78.68408203125001,the-realm-of-azurreach,THE REALM OF AZURREACH,,,,,,,,,"{""iconScale"":0.04}",,,
marker,30.52435507753783,-43.44004445335973,dwarf-outpost,Throal,,,![Throal](images/Throal.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,55.44206557079085,71.08574767143628,dwarf-outpost,Uzbad-az-Narg,,,"![Uzbad-az-Narg](images/Uzbad-az-Narg.jpg)
Hold has been sealed 1000 years so its unknown if the inhabitants are alive or dead and thus unknown if its an active or abandoned dwarfhold",,,,,,"{""iconScale"":0.01}",,,
marker,72.68576494172952,-8.613281250000002,abandon-dwarfhold,Avlar-Thrûn,,,"![Avlar-Thrûn](images/Avlar-Thr%C3%BBn.jpg)

Dwarfhold destroyed by dragons ",,,,,,"{""iconScale"":0.01}",,,
marker,-45.15105326556339,61.78710937500001,dwarf-outpost,Dun-Ôrdstun,,,"![Dun-Ôrdstun](images/Dun-%C3%94rdstun.jpg)

Ruled by Thane Maldrik Blackspine",,,,,,"{""iconScale"":0.01}",,,
marker,-35.35396257952243,66.35503496549036,dwarf-outpost,Dûrandur,,,![Dûrandur](images/D%C3%BBrandur.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-34.37966637421009,82.66012598852991,dwarf-outpost,Black Rock Hold,,,![Black Rock Hold](images/Black%20Rock%20Hold.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-60.99384283888707,33.88522275250645,dwarf-outpost,Barat Nûmenz,,,![Barat Nûmenz](images/Barat%20N%C3%BBmenz.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-70.72860581459155,53.96480198267597,dwarf-outpost,Dun Toruhm,,,![Dun Toruhm](images/Dun%20Toruhm.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-48.62629692516604,77.73915536434669,dwarf-outpost,Karad-Graef,,,![Karad-Graef](images/Karad-Graef.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-7.18810087117902,69.16992187500001,carrow-large,BP 003,,,,,,,,,"{""iconScale"":0.18}",,,
marker,11.84657904044014,-61.83077646030375,carrow,Neverwinter,,,![Neverwinter](images/Neverwinter.jpg),,,,,,"{""iconScale"":0.2}",,,
marker,-47.57627196331696,-50.27213309643573,carrow,Moorsfield,,,![Moorsfield](images/Moorsfield.jpg),,,,,,"{""iconScale"":0.3}",,,
marker,60.78024418936339,67.01532571638317,dwarf-outpost,Dûmthûr Mînrth,,,"![Dûmthûr Mînrth](images/D%C3%BBmth%C3%BBr%20M%C3%AEnrth.jpg)

Led by the Thane Oshuart Oakhammer",,,,,,"{""iconScale"":0.01}",,,
marker,66.56574968490334,24.2138653216851,dwarf-outpost,Dûrgrim Dûm,,,"![Dûrgrim Dûm](images/D%C3%BBrgrim%20D%C3%BBm.jpg)
Dûrgrim Dûm is an ancient Dwarvern hold located in the ___ 

It should be noted the current dwarfhold of Dûrgrim Dûm is not the primary bearer of its name. In fact Dûrgrim Dûm as it currently exists, was abandoned for over a thousand years after it became too crowded and its population migrated to a new hold which was constructed to fit its much larger population. This hold was lost during the Great Desecration, when Chaos marauders defiled sacred tombs across the northern reaches and elsewhere. The surviving clans gathered remaining relics and relocated to their orginal hold that had been abandoned a millennium past. Out of the great shame of losing their hold the dwarves swore an eternal oath to erase the name of the original hold of their ancestors, they had retreated into and replace it with the one that had just been lost, as to make any without personal knowledge believe this was their only hold and no hold had been breached and looted by the outlanders. ",,,,,,"{""iconScale"":0.01}",,,
marker,-43.707593504052944,-3.251953125,dwarf-outpost,Y'olazad-az-Bôr,,,![Y'olazad-az-Bôr](images/Y'olazad-az-B%C3%B4r.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-21.88257623382042,63.809101788294804,dwarf-outpost,Gor Dûrgheld,,,![Gor Dûrgheld](images/Gor%20D%C3%BBrgheld.png),,,,,,"{""iconScale"":0.01}",,,
marker,-60.13056361691419,50.2294921875,dwarf-outpost,Barûn-Karag,,,"![Barûn-Karag](images/Bar%C3%BBn-Karag.jpg)
Initially founded as a pump-station to feed distant fortresses, Barûn-karag flourished after engineers became taking up brewing as a hobby and found the local undersoil was exceptionally well for growing hops 

The hold supplied water and beer during the Long March of the Grey Beards, earning lasting gratitude from allied clans.

Ruled by the Thane-King Brewmaster Gardian Brewhammer, the hold is


Brewthane brewmasters guard yeast cultures older than the hold itself, sharing casks only during oath-swearing festivals. Aquifer wardens combine rune hydraulics with water-wheels to drive mills, polishing halls to a glasslike sheen.",,,,,,"{""iconScale"":0.01}",,,
marker,-25.244870668979043,26.410072149433425,dwarf-outpost,Dwemerhelm,,,![Dwemerhelm](images/Dwemerhelm.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,63.71445458364793,-78.37646484375001,house,Brimfjord,,,![Brimfjord](images/Brimfjord.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,71.00265967789281,-82.39746093750001,house,Eirholt,,,![Eirholt](images/Eirholt.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-69.66506913577498,-25.950135280187677,porto,Eldoria,,,![Eldoria](images/Eldoria.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-34.75967405945443,-77.42884704762747,castle,Regorina,,,![Regorina](images/Regorina.jpg),,,,,,"{""iconScale"":0.35}",,,
marker,-35.27755840603654,-42.78076171875001,castle,Nightgale,,,![Nightgale](images/nightgale.jpg),,,,,,"{""iconScale"":0.35}",,,
marker,-58.39069814092198,-63.061010534702575,castle,Carwell,,,![Carwell](images/Carwell.jpg),,,,,,"{""iconScale"":0.35}",,,
marker,-72.06039251607318,13.754882812500002,bazzar,BAZZAR,,,,,,,,,"{""iconScale"":0.15}",,,
marker,-16.8886597873816,87.26496228740088,orc,The Whitehand Clan ,,,,,,,,,"{""iconScale"":0.41}",,,
marker,-24.726809066760115,34.76074218750001,gate,Dol Guldur,,,![Dol Guldur](images/Dol%20Guldur.jpg),,,,,,"{""iconScale"":0.41}",,,
marker,-26.60840312508897,61.36966909744862,dwarf-outpost,Tuwad-Dhumakon,,,![Tuwad-Dhumakon](images/Tuwad-Dhumakon.jpeg),,,,,,"{""iconScale"":0.01}",,,
marker,-26.334904993143063,51.196552275447765,dwarf-outpost,Skomdihir,,,![Skomdihir](images/Skomdihir.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-32.58293311165956,-24.27972289929529,dwarf-outpost,Hul-Jorkad,,,"![Hul-Jorkad](images/Hul-Jorkad.jpg)


Ruled by King Thrain Oathhammer",,,,,,"{""iconScale"":0.01}",,,
marker,-32.04665027893795,70.86218837185285,dwarf-outpost,Hul-Az-Krakazol,,,![Hul-Az-Krakazol](images/Hul-Az-Krakazol.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-69.29496811357295,56.57958826762457,dwarf-outpost,Ovdal-az-An,,,![Ovdal-az-An](images/Ovdal-az-An.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-71.40637795306482,53.657330586778755,ld-007,LD 007,,,,,,,,,"{""iconScale"":0.11}",,,
marker,-73.09864515998866,50.39503576895697,ld-007,LD 007,,,,,,,,,"{""iconScale"":0.11}",,,
marker,-73.75708225264577,74.81846829249757,ld-007,LD 007,,,,,,,,,"{""iconScale"":0.11}",,,
marker,-28.885038259360872,54.39325853473561,abandon-dwarfhold,Grom's Peak,,,![Grom's Peak](images/Grom%27s%20Peak.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-23.221877979325416,68.81858712512549,gnome,Gnomepoint,,,![Gnomepoint](images/Gnomepoint.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,64.82090711923603,74.83861574761437,abandon-dwarfhold,Karak Gorûmzra,,,![Karak Gorûmzra](images/Karak%20Gor%C3%BBmzra.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,72.67922441671935,-83.16650390625001,abandon-dwarfhold,Ostapchuk,,,![Ostapchuk](images/Ostapchuk.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-43.25265825851726,55.68969726562501,abandon-dwarfhold,Dammerhall,,,![Dammerhall](images/dammerhall.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,69.98292897269606,-50.75475372076899,abandon-dwarfhold,Almharaz,,,![Almharaz](images/Almharaz.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,14.99274339047006,90.22422765558854,abandon-dwarfhold,Haraz Oldrum,,,![Haraz Oldrum](images/Haraz%20Oldrum.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,7.405823569059584,15.095530750385812,abandon-dwarfhold,Elaig Drum,,,![Elaig Drum](images/Elaig%20Drum.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,33.211116472416855,78.39930652813327,orc,The Ghirzord,,,,,,,,,"{""iconScale"":0.41}",,,
marker,-51.69971604503755,-32.87103680143088,dwarf-outpost,Orocarni,,,![Orocarni](images/Orocarni.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,41.261291493919884,75.60658304309892,dwarf-outpost,Dun-Gardro,,,![Dun-Gardro](images/Dun-Gardro.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,63.753349751812074,48.03138175667467,abandon-dwarfhold,Karak Ozambrald,,,![Karak Ozambrald](images/Karak%20Ozambrald.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,55.10351605801967,40.62592997182795,abandon-dwarfhold,Ironhold,,,![Ironhold](images/Ironhold.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,53.396432127095984,27.861186812025558,abandon-dwarfhold,Alvar-Baroag,,,![Alvar-Baroag](images/Alvar-Baroag.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,15.766049967388058,31.091308593750004,carrow,Stenengard,,,,,,,,,"{""iconScale"":0.3}",,,
marker,-2.483345737982608,-32.16796875000001,carrow,Seabrook,,,"![Moorsfield](images/Moorsfield.jpg)

Current wiki entries:
- The Curse of Stone
- Dark Dwarfs 
- Drow 
- The Dread King
- The Elf Wars
- Fel Magic
- Giants
- Gnomes
- Goblins
- Gorlak
- The Great Plague
- The Great Regrowth
- Grey Dwarfs
- Harpies 
- Hill Dwarfs
- Ice Troll 
- Kobolds
- Mountain Dwarfs
- Northmen 
- Ogres
- Orcish 
- Pirate Freeports
- Ratlings
- The Red Curse
- Religion of the Holds
-  Troglodytes
- Tram
- Shardspine Yetis
Great Destruction ",,,,,,"{""iconScale"":0.3}",,,
marker,-65.50400376763241,9.953613281250002,large-bazzar,LARGE BAZZAR,,,,,,,,,"{""iconScale"":0.17}",,,
marker,-66.42570377245043,9.382324218750002,bazzar,Siwasuf,,,![Siwasuf](images/Siwasuf.jpg),,,,,,"{""iconScale"":0.15}",,,
marker,-65.29442413880925,12.32666015625,bazzar,Vivera,,,![Vivera](images/Vivera.jpg),,,,,,"{""iconScale"":0.15}",,,
marker,-64.97112183741547,18.303222656250004,large-bazzar,Tunisople,,,![Tunisople](images/Tunisople.jpg),,,,,,"{""iconScale"":0.17}",,,
marker,-68.41538996517319,10.085449218750002,bazzar,BAZZAR,,,,,,,,,"{""iconScale"":0.15}",,,
marker,-70.80149329222245,32.32177734375001,large-bazzar,Saradeena,,,,,,,,,"{""iconScale"":0.17}",,,
marker,-71.11629558881025,47.08740234375001,bazzar,Al Didad,,,,,,,,,"{""iconScale"":0.15}",,,
marker,-64.07228140882118,24.147949218750004,bazzar,Yaribs,,,![Yaribs](images/Yaribs.jpg),,,,,,"{""iconScale"":0.15}",,,
marker,-72.1548877325445,46.03271484375001,large-bazzar,Sheôl,,,,,,,,,"{""iconScale"":0.17}",,,
marker,-73.3341174958937,35.59570312500001,eleven-tower,Tor Midon,,,![Tor Midon](images/Tor%20Midon.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-73.63385704026865,17.182617187500004,bazzar,Tukero,,,![Tukero](images/Tukero.jpg),,,,,,"{""iconScale"":0.15}",,,
marker,-72.56745499911975,23.994140625000004,bazzar,Tel Karbaruk,,,![Tel Karbaruk](images/Tel%20Karbaruk.jpg),,,,,,"{""iconScale"":0.15}",,,
marker,-53.82696376450747,11.228027343750002,large-bazzar,Tehraroft,,,![Tehraroft](images/Tehraroft.jpg),,,,,,"{""iconScale"":0.17}",,,
marker,-68.25975865531507,21.73095703125,bazzar,Tarrisse,,,![Tarrisse](images/Tarrisse.jpg),,,,,,"{""iconScale"":0.17}",,,
marker,-68.07950702586419,9.711914062500002,bazzar,Sha'ri Red City,,,![Sha'ri Red City](images/Sha%27ri%20Red%20City.jpg),,,,,,"{""iconScale"":0.15}",,,
marker,-63.03295871655778,13.337402343750002,fort,High Point Citidel,,,![High Point Citidel](images/High%20Point%20Citidel.jpg),,,,,,"{""iconScale"":0.15}",,,
marker,-71.52490903732816,21.060791015625004,bazzar,Al-Salri,,,![Al-Salri](images/Al-Salri.jpg),,,,,,"{""iconScale"":0.15}",,,
marker,-72.32912972217885,35.55049213977258,large-bazzar,Baahubali,,,![Baahubali](images/Baahubali.jpg),,,,,,"{""iconScale"":0.17}",,,
marker,-53.85208501857218,30.146484375000004,porto,Olzar,,,![Olzar](images/Olzar.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,8.86336203355168,-32.98068098166794,carrow,Rydale,,,,,,,,,"{""iconScale"":0.3}",,,
marker,-0.4394488164139641,37.42297326177813,carrow,Mourngrove,,,,,,,,,"{""iconScale"":0.3}",,,
marker,-9.156332560046778,40.364081200132986,carrow,Ravenhollow,,,,,,,,,"{""iconScale"":0.3}",,,
marker,59.153403092050375,48.93451688354864,abandon-dwarfhold,Ondrehrdin,,,![Ondrehrdin](images/Ondrehrdin.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-40.530501775743204,-17.3371915962196,beastman-small,BEASTMAN SMALL,,,,,,,,,"{""iconScale"":0.2}",,,
marker,-50.86144411058924,-39.28543526785715,beastman-small,BEASTMAN SMALL,,,,,,,,,"{""iconScale"":0.2}",,,
marker,-10.660607953624762,79.4761795925152,orc,ORC,,,,,,,,,"{""iconScale"":0.41}",,,
marker,-67.64310981754926,85.80290627531049,orc,ORC,,,,,,,,,"{""iconScale"":0.41}",,,
marker,-62.40055082541711,39.308935101633736,orc,ORC,,,,,,,,,"{""iconScale"":0.41}",,,
marker,-52.05212956527438,41.08886718750001,gate,Brogs Gates,,,![Brogs Gates](images/Brogs%20Gates.png),,,,,,"{""iconScale"":0.41}",,,
marker,36.10237644873644,93.51562500000001,dwarf-outpost,Azrak Ordrim,,,![Azrak Ordrim](images/Azrak%20Ordrim.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-23.443088931121775,-2.8125,dwarf-outpost,Dal Dulrah,,,![Dal Dulrah](images/Dal%20Dulrah.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-23.88583769986199,57.2607421875,dwarf-outpost,Dungrum,,,![Dungrum](images/Dungrum.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,2.943040910055132,96.59179687500001,dwarf-outpost,Dun'ragram,,,![Dun'ragram](images/Dun'ragram.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-46.49839225859762,9.140625000000002,dwarf-outpost,Karak Isural,,,![Karak Isural](images/Karak%20Isural.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-39.84228602074339,50.97656250000001,dwarf-outpost,Sinterholm ,,,,,,,,,"{""iconScale"":0.01}",,,
marker,70.08056215839737,20.742187500000004,gnome,Tinkertown,,,![Gnomepoint](images/tinkertown.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,29.305847291822687,99.22584719495144,dwarf-outpost,Karak-Dûmankon,,,![Karak-Dûmankon](images/Karak-D%C3%BBmankon.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-0.9881958383385184,88.21897776643627,dwarf-outpost,Grozumdihr,,,![Grozumdihr](images/Grozumdihr.png),,,,,,"{""iconScale"":0.01}",,,
marker,-2.855686387374083,96.91901827280756,dwarf-outpost,Gor Ozumbrog,,,![Gor Ozumbrog](images/Gor%20Ozumbrog.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-59.18723968628088,-33.44239230392819,dwarf-outpost,Azad-Khas,,,![Azad-Khas](images/Azad-Khas.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-32.787207396195136,56.71148175569717,gate,Three Kings Dam,,,![Three Kings Dam](images/Three%20Kings%20Dam.jpg),,,,,,"{""iconScale"":0.41}",,,
